char	pengim	annot
伏	hok8	文
伏	pak4	方
伢	ghe5	
佤	ua1	
仲	dong6	
份	hung7	
倫	lung5	
價	ge3	
價	gai3	
傖	cang1	文
傖	cvng1	白
仵	ngou2	
件	gian6	
任	rim6	
任	rim7	
傷	sion1	
倀	ciang1	
倀	ziang3	俗
倀	ziang1	又
仰	ngiang2	
似	sv6	
伊	i1	方
佗	to5	
位	ui7	
住	zu6	文
住	diu7	白
伴	puan6	
佞	leng6	
體	ti2	文
體	toi2	白
何	ho5	
估	gou1	
估	gou2	又
佐	zo2	
佑	iu6	
佧	ka2	
攸	hiu1	
但	dang6	
伸	sing1	
伸	cung1	俗
佃	doin6	
伶	leng5	
佚	ik8	
作	zak4	文
作	zoh4	白
伯	beh4	
㑳	ziu3	
佟	tong5	
傭	iong5	
佣	iong6	
低	di1	
佝僂	gu1 lu1	
你	lv2	
𠏮	dui3	方
佁	i2	
伺	sv6	
佛	huk8	
佛	huk4	
伽	gia1	
侘傺	ca3 zi3	
佽	cv3	
佼	gau2	
依	i1	
儕	se5	
佯	iang5	
佯	siang5	俗
儂	long5	
儂	nang5	方
俠	hiap8	
佳	gia1	
侍	si6	
佶	gik4	
佶	kiak4	又
佬	lau2	
佴	ri7	
佴	nai6	
佌	cv2	方
供	geng1	
僥	ngiau5	bound
僥幸	hiau1 heng6	
徼幸	hiau1 heng6	
儌幸	hiau1 heng6	
使	sai2	
使	sai3	
侉	kua1	
佰	beh4	
侑	iu6	
例	li7	
侄	diak8	
姪	diak8	
偵	zeng1	
侶	lv6	
侗	tong5	
𪜶	ing2	方！
侃	kang3	
側	cek4	
側	zeh4	
佾	ik8	
佻	tiau1	
侏	zu1	
僑	kiau5	
佺	cuang5	
儈	guai3	
侜	diu1	
譸	diu1	
侈	ci2	
侈	ti2	方
佩	bue6	
珮	bue6	
侔	mou5	
信	sing3	
儔	tiu5	
儼	ngiam2	
儷	li6	
便	biang6	
便	piang1	
便	pin1	又
倆	liang2	
俅	kiu5	
俏	ciau2	
俚	li2	
俚	li5	俗
保	bo2	白
保	bau2	文
俜	peng1	
促	cok4	
修	siu1	
儉	kiam6	
佮	gah4	方！
俘	hu1	
俗	sok8	
俄	ngo5	
俐	li6	
侮	bhu2	
俑	iong2	
俑	iong3	俗
侹	teng2	
俊	zung3	
竢	sv6	
俟	ki5	bound
侵	cim5	
侯	hou5	
侯	gau5	
倌	guan1	
倥傯	kong2 zong2	
倍	bue6	
俯	hu2	
倦	guang6	
俸	hong6	
倩	ceng3	
倩	ciah4	
債	ze3	
俵	biau2	
倻	ia5	
借	zioh4	
借	zia6	
偌	ria2	
值	dak8	
值	dek8	
倳	sai7	方
倴	pung1	
倚	i2	文
倚	in2	又、文
倚	ua2	白
俺	nang2	訓
倒	do2	白
倒	do3	白
倒	dau2	文
傾	kuang1	
倘	tang2	
倘	siang5	bound
俶	sok4	
俶	tek4	bound
倬	doh4	
倮	lo2	
脩	siu1	
倏	siap4	
俳	bai5	
俱	gu6	
倡	ciang3	
候	hau7	
倭	o1	文
倭	oi2	俗
倪	ngi5	文
倪	ghoi7	
俾	bi2	
倜儻	tek4 tang2	
倨	gv6	
倔	kuk4	
停	teng5	
停	deng5	方
偏	piang1	
僂	lu2	
僨	hung2	
做	zo3	
偃	iam2	
偃	iam1	俗
偭	miang2	
偕	gai1	
偕	hai5	俗
償	sion5	
偪側	bek4 cek4	方
偈	gi6	
偈	giak4	又
偈	giak8	
偶	ngou2	
偎	ui1	
偎	ui2	又
偷	tau1	
傀儡	gui2 lui2	
偁	ceng1	
傯	zong2	bound
健	giang6	文
健	gian7	白
假	gia2	文
假	ge2	白
假	gian2	文
假	ge3	白
偓	ok4	
傢	ge1	
儐	bing1	
傍	pang5	
傍	bang6	又
儲	tu5	
傲	ngau6	
傣	tai3	
傎	diang1	
傅	hu3	
傅	bou3	
傈僳	liak8 cek4	
儻	tang2	bound
翛	siau1	
儺	no5	
傫	lui6	方
催	cui1	
傻	sa6	
傺	zi3	
像	cion6	
像	sion3	
像	siang6	
僮	zuang6	
僮	tong5	
僮	dong5	
僦	ziu6	
僧	zeng1	
僖	hi1	
儆	geng6	
僡	hui6	
僳	cek4	bound
僚	liau5	
僭	ciam3	
儩	sv3	
僬僥	ziau1 ngiau5	
儃	siang5	
僵	giang1	
殭	giang1	
儋	dam1	
僻	piah4	
僻	piah8	又
儒	tu5	
儡	lui2	bound
勺	ziak4	
勺	ciah8	方
勻	ung5	
勿	muk4	文
勿	mai3	訓
勾	gau1	
